Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,LONG BEACH STATION 1,Long Beach,WA,98631,Public,,2,,,,,
ELEC,SAMMAMISH SAMM VILLAGE #1,Sammamish,WA,98074,Public,,2,,,,,
ELEC,THE SUMMIT THE SUMMIT - P2,Bellevue,WA,98004,Public,,2,,,,,
ELEC,City of Bridgeport - City Hall,Bridgeport,WA,98813,Public,,1,,,,,
ELEC,City of Tonasket - City Hall,Tonasket,WA,98855,Public,,1,,,,,
ELEC,Y.V.M.H. SOUTH PARKING-2,Yakima,WA,98902,Public,,2,,,,,
ELEC,ESSEX BELLCENTERE 01,Bellevue,WA,98004,Public,,2,,,,,
ELEC,SAMMAMISH SAM VILLAGE #2,Sammamish,WA,98074,Public,,2,,,,,
ELEC,Confluence Technology Center,Wenatchee,WA,98801,Public,,1,,,,,
ELEC,Rocky Reach Dam Visitor Center,Wenatchee,WA,98801,Public,,1,,,,,
ELEC,LONGACRES GH BLDG D2,Renton,WA,98057,Public,,2,,,,,
ELEC,LONGACRES CH BLDG C 2,Renton,WA,98057,Public,,2,,,,,
ELEC,MI SCHOOLS ISLANDER #1,Mercer Island,WA,98040,Public,,2,,,,,
ELEC,Kitsap Transit Charleston Blvd,Bremerton,WA,98312,Public,,2,,,,,
ELEC,BELLEVUE DOWNTOWN PARK 2,Bellevue,WA,98004,Public,,2,,,,,
ELEC,SKAGIT STATION SS1,Mount Vernon,WA,98273,Public,,2,,,,,
ELEC,GCU STATION 1,spokane,WA,99201,Public,,1,,,,,
ELEC,400 DEXTER AVE 400 DEXTER 1,Seattle,WA,98109,Public,,2,,,,,
ELEC,Bellevue Nissan,Bellevue,WA,98007,Public - Call ahead,,1,,,,,
ELEC,ALOFT ALOFT ELEMENT 2,Redmond,WA,98052,Public,,2,,,,,
ELEC,UWB CASCADIA CC SOUTH DUAL 3,Bothell,WA,98011,Public,,2,,,,,
ELEC,RPNW IBM #1,Seattle,WA,98101,Public,,2,,,,,
ELEC,DEPT OF ECOLOGY HQ 1,Lacey,WA,98516,Public,,2,,,,,
ELEC,E_SOFI SOFI #1,Bellevue,WA,98006,Public,,2,,,,,
ELEC,BELLEVUE SQUARE BELL SQ NORTH 1,Bellevue,WA,98004,Public,,2,,,,,
ELEC,MERCER ISLAND MI COMMUN CTR,Mercer Island,WA,98040,Public,,2,,,,,
ELEC,DC CORRIDOR WALLYPARKDC1,SeaTac,WA,98188,Public,,,1,,,,
ELEC,COLLEGE HALL PARKING GARAGE,Spokane,WA,99202,Public,,2,,,,,
ELEC,CAR CHARGER #1 SOMA DUAL 1,Bellevue,WA,98004,Public,,2,,,,,
ELEC,PUBLIC WORKS 1 MARITIME PIER,Gig Harbor,WA,98335,Public,,2,,,,,
ELEC,DUAL EV SOUTH 2,Seattle,WA,98105,Public,,2,,,,,
ELEC,PARK77 PARK77 C,Arlington,WA,98223,Public,,2,,,,,
ELEC,PUBLIC WORKS 1 GH FINHOLM 1,Gig Harbor,WA,98332,Public,,2,,,,,
ELEC,KIRKLAND MARINA PARK 1,Kirkland,WA,98033,Public,,2,,,,,
ELEC,Jefferson Transit Authority Four Corners Park N Ride,Port Townsend,WA,98368,Public,,4,,,,,
ELEC,"Kitsap Transit - North Viking Poulsbo Park N Ride, WA",Poulsbo,WA,98370,Public,4,4,,,,,
ELEC,FACTORIA EV KAMBER ROAD,Bellevue,WA,98005,Public,,2,,,,,
ELEC,SECURITIES BLDG STATION 1,Seattle,WA,98101,Public,,2,,,,,
ELEC,DC CORRIDOR CENTRAL SEA COL,Seattle,WA,98122,Public,,,1,,,,
ELEC,EDMONDSNISSAN COMMERCIAL 2,Edmonds,WA,98026,Public,,,1,,,,
ELEC,Bellevue Nissan,Bellevue,WA,98007,Public - Card key at all times,,,5,,,,
ELEC,Bellevue Nissan,Bellevue,WA,98007,Public - Card key at all times,,,3,,,,
ELEC,Redmond Town Center,Redmond,WA,98052,Public - Card key at all times,,1,2,,,,
